data inicio,data termino,nome do evento,Tipo,Estado que ocorrerá,Impacto para a aviação,Dia da semana que iniciará,Dias restantes para o evento,Se terá possível emenda
2025-01-20,2025-01-20,Dia Mundial do Queijo,Data Comemorativa,Todos,Baixo,Monday,-194,Não
2025-01-20,2025-01-20,Dia do Farmacêutico,Data Comemorativa,Todos,Baixo,Monday,-194,Não
2025-01-20,2025-01-20,Dia de São Sebastião,Data Comemorativa,Todos,Baixo,Monday,-194,Não
2025-01-20,2025-01-20,Dia Nacional do Fusca,Data Comemorativa,Todos,Baixo,Monday,-194,Não
2025-01-20,2025-01-20,Dia Nacional da Parteira Tradicional,Data Comemorativa,Todos,Baixo,Monday,-194,Não
2025-01-21,2025-01-21,Dia Mundial da Religião,Data Comemorativa,Todos,Baixo,Tuesday,-193,Sim
2025-01-21,2025-01-21,Dia Nacional de Combate à Intolerância Religiosa,Data Comemorativa,Todos,Baixo,Tuesday,-193,Sim
2025-01-23,2025-01-23,Dia Internacional da Medicina Integrativa,Data Comemorativa,Todos,Baixo,Thursday,-191,Sim
2025-01-23,2025-01-23,Dia de Santo Ildefonso,Data Comemorativa,Todos,Baixo,Thursday,-191,Sim
2025-01-24,2025-01-24,Dia dos Aposentados,Data Comemorativa,Todos,Baixo,Friday,-190,Não
2025-01-24,2025-01-24,Dia Mundial da Cultura Africana e Afrodescendente,Data Comemorativa,Todos,Baixo,Friday,-190,Não
2025-01-24,2025-01-24,Dia Internacional da Educação,Data Comemorativa,Todos,Baixo,Friday,-190,Não
2025-01-24,2025-01-24,Dia da Previdência Social,Data Comemorativa,Todos,Baixo,Friday,-190,Não
2025-01-25,2025-01-25,Dia do Carteiro,Data Comemorativa,Todos,Baixo,Saturday,-189,Não
2025-01-25,2025-01-25,Dia dos Correios e Telégrafos,Data Comemorativa,Todos,Baixo,Saturday,-189,Não
2025-01-25,2025-01-25,Dia Nacional da Bossa Nova,Data Comemorativa,Todos,Baixo,Saturday,-189,Não
2025-01-25,2025-01-25,Aniversário de São Paulo,Data Comemorativa,Todos,Baixo,Saturday,-189,Não
2025-01-26,2025-01-26,Dia da Gula,Data Comemorativa,Todos,Baixo,Sunday,-188,Não
2025-01-26,2025-01-26,Dia Nacional de Combate e Prevenção da Hanseníase,Data Comemorativa,Todos,Baixo,Sunday,-188,Não
2025-01-26,2025-01-26,Dia Internacional das Aduanas,Data Comemorativa,Todos,Baixo,Sunday,-188,Não
2025-01-26,2025-01-26,Dia de São Timóteo,Data Comemorativa,Todos,Baixo,Sunday,-188,Não
2025-01-26,2025-01-26,Dia Mundial da Educação Ambiental,Data Comemorativa,Todos,Baixo,Sunday,-188,Não
2025-01-26,2025-01-26,Dia Mundial contra a Hanseníase,Data Comemorativa,Todos,Baixo,Sunday,-188,Não
2025-01-27,2025-01-27,Dia Internacional em Memória das Vítimas do Holocausto,Data Comemorativa,Todos,Baixo,Monday,-187,Não
